LocationID,ExactName,TownName,CountyStateProvince,Country,Continent,Ocean,LongitudeDegrees,LongitudeMinutes,EorW,LatitudeDegrees,LatitudeMinutes,NorS,LongDD,LatDD,North,East,South,West,Altitude,Area,Notes,SpatialAccuracy,LocationExtent
55,Montana,Not applicable,Montana,USA,North America,Not applicable,110,0,W,47,0,N,-110,47,48.9833,-104.0333,44.5,-116.0167,,37655492,None,4,1
56,Nebraska,Not applicable,Nebraska,USA,North America,Not applicable,110,0,W,42,0,N,-110,42,42.9833,-95.3167,39.9833,-104.0333,,19797400,None,4,1
57,Nevada,Not applicable,Nevada,USA,North America,Not applicable,113,0,W,39,0,N,-113,39,41.9833,-114.0333,35,-119.9833,,19849501,None,4,1
58,New Hampshire,Not applicable,New Hampshire,USA,North America,Not applicable,72,0,W,44,0,N,-72,44,45.2833,-70.7,42.7167,-72.05,,2328928,None,4,1
59,New Jersey,Not applicable,New Jersey,USA,North America,Not applicable,74,0,W,41,0,N,-74,41,41.3333,-74.1,38.9167,-75.1167,,1934212,None,4,1
60,New Mexico,Not applicable,New Mexico,USA,North America,Not applicable,114,0,W,34,0,N,-114,34,36.9833,-102.9833,31.3167,-109.0333,,31426024,None,4,1
61,New York (state),Not applicable,New York,USA,North America,Not applicable,73,0,W,41,0,N,-73,41,44.9833,-71.9667,40.5167,-79.75,,12271161,None,4,1
62,North Carolina,Not applicable,North Carolina,USA,North America,Not applicable,79,0,W,36,0,N,-79,36,36.5333,-75.4833,36.85,-84.3,,12650337,None,4,1
63,North Dakota,Not applicable,North Dakota,USA,North America,Not applicable,100,0,W,47,0,N,-100,47,48.9833,-96.55,45.9333,-104.0333,,17948441,None,4,1
64,Ohio,Not applicable,Ohio,USA,North America,Not applicable,83,0,W,40,0,N,-83,40,41.95,-80.5167,38.4,-84.8,,10620036,None,4,1
65,Oklahoma,Not applicable,Oklahoma,USA,North America,Not applicable,97,0,W,36,0,N,-97,36,36.9833,-94.4667,33.6167,-102.9833,,17781904,None,4,1
66,Oregon,Not applicable,Oregon,USA,North America,Not applicable,120,0,W,44,0,N,-120,44,46.2333,-116.45,45.9667,-124.3667,,24912433,None,4,1
67,Pennsylvania,Not applicable,Pennsylvania,USA,North America,Not applicable,78,0,W,41,0,N,-78,41,42,-73.7167,36.7167,-80.5,,11627028,None,4,1
68,Rhode Island,Not applicable,Rhode Island,USA,North America,Not applicable,72,0,W,42,0,N,-72,42,42.0167,-71.1167,41.0283,-71.8,,272986,None,4,1
69,South Carolina,Not applicable,South Carolina,USA,North America,Not applicable,81,0,W,34,0,N,-81,34,35.1333,-78.5333,32,-83.3333,,7823613,None,4,1
70,South Dakota,Not applicable,South Dakota,USA,North America,Not applicable,100,0,W,44,0,N,-100,44,45.9333,-96.4667,42.4667,-104.0333,,19672604,None,4,1
71,Tennesee,Not applicable,Tennesee,USA,North America,Not applicable,86,0,W,36,0,N,-86,36,36.5667,-81.6833,34.9833,-90.2833,,10658886,None,4,1
72,Texas,Not applicable,Texas,USA,North America,Not applicable,99,0,W,32,0,N,-99,32,36.4833,-93.5167,25.85,-106.5833,,67861885,None,4,1
73,Utah,Not applicable,Utah,USA,North America,Not applicable,112,0,W,39,0,N,-112,39,41.9833,-109.0333,36.9833,-114.0333,,21257684,None,4,1
74,Vermont,Not applicable,Vermont,USA,North America,Not applicable,73,0,W,44,0,N,-73,44,45.3,-71.55,42.7333,-73.35,,2401707,None,4,1
75,Virginia,Not applicable,Virginia,USA,North America,Not applicable,78,0,W,38,0,N,-78,38,39.45,-75.85,36.6,-83.6667,,10282300,None,4,1
76,Washington (state),Not applicable,Washington,USA,North America,Not applicable,120,0,W,48,0,N,-120,48,48.9833,-117.0333,45.9833,-124.0667,,17226608,None,4,1
77,West Virginia,Not applicable,West Virginia,USA,North America,Not applicable,80,0,W,38,0,N,-80,38,40.6167,-77.7,37.2,-82.6167,,6248116,None,4,1
78,Wisconsin,Not applicable,Wisconsin,USA,North America,Not applicable,90,0,W,44,0,N,-90,44,47.2833,-86.2333,42.5,-92.8667,,14095816,None,4,1
79,Wyoming,Not applicable,Wyoming,USA,North America,Not applicable,108,0,W,43,0,N,-108,43,44.9833,-104.0333,41,-111.0167,,25119892,None,4,1
80,Canada,Not applicable,Not applicable,Canada,North America,Not applicable,98,0,W,60,0,N,-98,60,83.113327,-141.001404,41.913319,-52.616669,,997618531,None,4,1
81,USA,Not applicable,Not applicable,USA,North America,Not applicable,95,0,W,40,0,N,-95,40,47.45,-67.05,25.1333,-124.5333,,916689319,None,4,1
82,Canada and USA,Not applicable,Not applicable,Multiple or International jurisdiction,North America,Not applicable,100,0,W,45,0,N,-100,45,83.0333,-52.6667,26.15,-165.9667,,1914307850,None,4,1
83,Hinkley Point,Stolford,Somerset,UK - England,Europe,Not applicable,4,3,W,51,15,N,-4.05,51.25,51.2,-3.1167,51.2,-3.1333,0,,None,5,3
84,Rothamsted Experimental Station,Harpenden,Hertfordshire,UK - England,Europe,Not applicable,0,25,W,51,44,N,-0.416666667,51.73333333,51.8,-0.35,51.8,-0.35,119,,"This site is the BBSRC Institute of Arable Crops Research, Harpenden, Herts, AL5 2JQ.",6,3
85,Wye College,Wye,Kent,UK - England,Europe,Not applicable,0,53,E,51,6,N,0.883333333,51.1,51.1,0.883333333,51.1,0.883333333,43,,None,5,3
86,Broom's Barn,Bury St. Edmunds,Suffolk,UK - England,Europe,Not applicable,0,26,E,52,14,N,0.433333333,52.23333333,52.2,0.4333,52.2,0.4333,70,,Broom's Barn at Higham near Bury St. Edmunds.,3,4
87,Newcastle,Newcastle,Tyne and Wear,UK - England,Europe,Not applicable,1,48,W,55,6,N,-1.8,55.1,55.0333,-1.3667,55.7833,-1.7667,92,,None,5,2
88,Dundee,Dundee,Dundee City,UK - Scotland,Europe,Not applicable,2,56,W,56,20,N,-2.933333333,56.33333333,56.5,-2.8,56.45,-3.05,29,,None,5,2
89,Alice Holt,Alice Holt,Hampshire,UK - England,Europe,Not applicable,0,51,E,51,5,N,0.85,51.08333333,51.15,-0.8333,51.1333,-0.85,121,,None,5,3
90,Geescroft,Stevenage,Hertfordshire,UK - England,Europe,Not applicable,0,21,W,51,49,N,-0.35,51.81666667,51.9167,-0.15,51.8667,-0.2167,130,,None. Bounding box coordinates for Stevenage.,5,3
91,Kielder,Kielder,Northumberland,UK - England,Europe,Not applicable,2,30,W,55,7,N,-2.5,55.11666667,55.3,-2.25,55.25,-2.5,213,,None,4,3
92,Elgin,Elgin,Moray,UK - Scotland,Europe,Not applicable,2,32,W,57,32,N,-2.533333333,57.53333333,57.65,-3.2667,57.6167,-3.3333,23,,None,5,3
94,William Trelease Woods,"Urbana, Champaign County",Illinois,USA,North America,Not applicable,88,18,W,40,8,N,-88.3,40.13333333,40.13,-88.3,40.13,-88.3,,24,"Reserve, owned by University of Illinois since 1917. Protected from human disturbance since then.",4,3
95,Robert Allerton Park,"Urbana, Champaign County",Illinois,USA,North America,Not applicable,88,39,W,39,59,N,-88.65,39.98333333,39.98,-88.65,39.98,-88.65,,180,"Park, owned by University of Illinois since 1946. 180ha of upland forest in the 600ha park.",3,3
96,Hubbard Brook Experimental Forest,"West Thornton, Grafton County",New Hampshire,USA,North America,Not applicable,71,45,W,44,0,N,-71.75,44,44,-71.75,44,-71.75,550,10,"The study took place on a 10ha plot, the area of the forest is 3076ha. Unfragmented and undisturbed area",3,3
97,"Eastern Wood, Bookham Common",Bookham,Surrey,UK - England,Europe,Not applicable,0,20,W,51,15,N,-0.333333333,51.25,51.3,-0.3667,51.2833,-0.3833,100,16,Total 112ha woodland on common.,3,3
98,Castle Hill National Nature Reserve,Lewes,East Sussex,UK - England,Europe,Not applicable,0,5,W,50,46,N,-0.083333333,50.76666667,50.8667,0,50.8667,0,,47,"Chalk downland slopes and dry valleys in the South Downs near Lewes. There are also east and west facing slopes. Gorse, elder, hawthorn and bramble on slopes. Herb-rich grassland and simpler grassland. Grazing took place on the site.",3,3
99,Denford Mill,Denford Mill,Berkshire,UK - England,Europe,Not applicable,1,32,W,51,25,N,-1.533333333,51.41666667,51.4,-1.4833,51.4,-1.4833,,,Annual cutback of rides.,4,3
100,Tewinbury,Tewinbury,Hertfordshire,UK - England,Europe,Not applicable,0,10,W,51,49,N,-0.166666667,51.81666667,51.8167,-0.1667,10.1167,-0.2,,,Annual cutback of rides and some willows.,3,2
101,Great Corby Wood,Great Corby,Cumbria,UK - England,Europe,Not applicable,2,52,W,54,54,N,-2.866666667,54.9,54.8667,-2.7833,54.85,-2.8,,,No management.,5,2
102,Theddlethorpe Dunes,Grimsby,Lincolnshire,UK - England,Europe,Not applicable,0,4,W,53,22,N,-0.066666667,53.36666667,53.5667,0.2667,53.3333,-0.3833,,,"National Nature Reserve, no management.",5,2
103,Treswell Wood,Treswell,Nottinghamshire,UK - England,Europe,Not applicable,0,51,W,53,18,N,-0.85,53.3,53.3,-0.8167,53.3,-0.8333,,,"Occasional coppicing, and cutback/mowing of rides.",5,2
104,Marsworth,Tring,Hertfordshire,UK - England,Europe,Not applicable,0,43,W,51,45,N,-0.716666667,51.75,51.8167,-0.65,51.8167,-0.6667,,,Annual cutback of scrub and reed swamp.,5,2
105,Clanger Wood,Warminster,Wiltshire,UK - England,Europe,Not applicable,2,11,W,51,11,N,-2.183333333,51.18333333,51.2833,-2.1667,51.2667,-2.1833,,,"Coppicing and clear felling in some areas, annual cutback of rides.",5,2
106,Norway,Not applicable,Not applicable,Norway,Europe,Not applicable,13,30,E,66,0,N,13.5,66,71,31,57.5,4.75,,,None,4,1
107,South Norway,Not applicable,Not applicable,Norway,Europe,Not applicable,9,0,E,61,0,N,9,61,63,12.9,57.5,4.47,,,Includes South Trondelag as it's northern limit.,3,1
108,Central Norway,Not applicable,Not applicable,Norway,Europe,Not applicable,13,30,E,66,0,N,13.5,66,67,16.4,63,8,,,North Trondelag and Nordland.,3,1
109,North Norway,Not applicable,Not applicable,Norway,Europe,Not applicable,22,30,E,70,0,N,22.5,70,71,31,67,12.45,,,Troms and Finmark includes Norwegian Lapland.,3,1
110,Makkovik,"Makkovik, Labrador",Newfoundland,Canada,North America,Not applicable,59,10,W,55,0,N,-59.16666667,55,55.08,-59.18,55.08,-59.18,,,None,3,1
111,Hopedale,"Hopedale, Labrador",Newfoundland,Canada,North America,Not applicable,60,10,W,55,30,N,-60.16666667,55.5,55.47,-60.2,55.47,-60.2,,,None,3,1
112,Zoar,"Zoar, Labrador",Newfoundland,Canada,North America,Not applicable,65,0,W,54,0,N,-65,54,54,-65,54,-65,,,Approximate co-ordinates.,3,1
113,Nain,"Nain, Labrador",Newfoundland,Canada,North America,Not applicable,61,45,W,56,30,N,-61.75,56.5,56.5,-61.75,56.5,-61.75,,,None,3,1
114,Okak,"Okak, Labrador",Newfoundland,Canada,North America,Not applicable,62,0,W,57,30,N,-62,57.5,57.5,-62,57.5,-62,,,None,3,1
115,Ramah,"Ramah, Labrador",Newfoundland,Canada,North America,Not applicable,65,0,W,54,0,N,-65,54,58.87,-63.25,58.87,-63.25,,,Approximate co-ordinates.,3,1
116,Hebron,"Hebron, Labrador",Newfoundland,Canada,North America,Not applicable,62,30,W,58,5,N,-62.5,58.08333333,58.08,-62.5,58.08,-62.5,,,None,3,1
117,Davis Inlet,"Davis Inlet, Labrador",Newfoundland,Canada,North America,Not applicable,60,45,W,55,50,N,-60.75,55.83333333,55.83,-60.75,55.83,-60.75,,,None,3,1
118,Ungava District,Fort Chimo,Quebec,Canada,North America,Not applicable,67,0,W,58,0,N,-67,58,62.5,-64,52.25,-79.5,,,Approximate co-ordinates.,3,1
119,Letzlingen,Letzlingen,Sachsen Anhalt,Germany,Europe,Not applicable,11,30,E,52,27,N,11.5,52.45,52.45,11.5,52.45,11.5,,,"Region used to be Magdeburg, East Germany",3,1
121,Grand Teton National Park,Jackson,Wyoming,USA,North America,Not applicable,110,50,W,43,50,N,-110.8333333,43.83333333,43.83,-110.83,43.83,-110.83,2057,,None,4,1
122,"Jock's Hill, Dufftown",Dufftown,Moray,UK - Scotland,Europe,Not applicable,3,8,W,57,25,N,-3.133333333,57.41666667,57.4333,-3.1167,57.4333,-3.1333,378,200,Altitude between 277 & 479 m. 160 ha heather moorland and 40 ha farmland.,4,3
123,Forest of Dean,Not applicable,Gloucestershire,UK - England,Europe,Not applicable,2,35,W,51,45,N,-2.583333333,51.75,51.8333,-2.4833,51.7167,-2.6,,,None,4,1
125,Glenrinnes Estate,Dufftown,Moray,UK - Scotland,Europe,Not applicable,3,8,W,57,25,N,-3.133333333,57.41666667,57.4333,-3.1167,57.4167,-3.1333,377,,Altitude between 277 & 479 m. Estate Includes the area Jocks Hill (also in the database). Previously in Grampian.,4,1
126,"Unknown site, ""estate a"" Yorkshire",Not applicable,Yorkshire,UK - England,Europe,Not applicable,1,30,W,54,0,N,-1.5,54,54.55,-9.1333,54.2833,-2.1667,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
127,"Unknown site, ""estate a"" Norfolk",Not applicable,Norfolk,UK - England,Europe,Not applicable,1,20,E,52,45,N,1.333333333,52.75,52.9833,1.7333,52.35,0.15,,,The name and exact location of the estate is not given. Approximate co-ordinates. Bounding box coordinates for whole county.,2,2
128,"Unknown site, ""estate b"" Norfolk",Not applicable,Norfolk,UK - England,Europe,Not applicable,1,20,E,52,45,N,1.333333333,52.75,52.9833,1.7333,52.35,0.15,,,The name and exact location of the estate is not given. Approximate co-ordinates. Bounding box coordinates for whole county.,2,2
129,Unknown site,Not applicable,Hertfordshire,UK - England,Europe,Not applicable,0,10,W,51,50,N,-0.166666667,51.83333333,52.0667,-0.1833,51.5833,-0.7333,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
130,"Unknown site, ""estate b"" Yorkshire",Not applicable,Yorkshire,UK - England,Europe,Not applicable,1,30,W,54,0,N,-1.5,54,54.55,-9.1333,54.2833,-2.1667,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
131,"Unknown site, ""estate a"", Perthshire",Not applicable,Perth and Kinross,UK - Scotland,Europe,Not applicable,3,30,W,56,20,N,-3.5,56.33333333,56.9333,-3.0333,56.1167,-4.7167,,,The exact location of the estate is not given. Perthshire is now part of the county of Perth and Kinross. Bounding box coordinates for whole county.,2,2
132,Unknown site,Not applicable,Suffolk,UK - England,Europe,Not applicable,1,20,E,52,10,N,1.333333333,52.16666667,52.55,1.75,51.9333,0.2,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
133,Bute - Unknown site,Not applicable,Argyll and Bute,UK - Scotland,Europe,Not applicable,5,5,W,55,45,N,-5.083333333,55.75,56.6167,-4.5667,55.2833,-5.8,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
134,Unknown site,Not applicable,Cumbria,UK - England,Europe,Not applicable,3,0,W,54,40,N,-3,54.66666667,55.1833,-2.15,54.0333,-3.6333,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
135,Unknown site,Aberdeen,Aberdeenshire/Aberdeen City,UK - Scotland,Europe,Not applicable,2,5,W,57,10,N,-2.083333333,57.16666667,57.2333,-2.0333,57.0667,-2.35,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
136,"Unknown site, Lanarkshire",Not applicable,Lanarkshire - North/South,UK - Scotland,Europe,Not applicable,4,25,W,55,40,N,-4.416666667,55.66666667,56.0167,-3.2833,55.2833,4.2667,,,The exact location of the estate is not given. Bounding box coordinates for whole county.,2,2
137,Unknown site,Not applicable,Sussex,UK - England,Europe,Not applicable,0,10,W,51,0,N,-0.166666667,51,51.1667,-0.8667,50.7333,-0.95,145,,The exact location of the estate is not given. Altitude between 100 and 190m. An area of chalk downland lying on Upper Chalk bedrock on hill slopes and dry valleys.,2,2
138,"Unknown site, ""estate b"", Perthshire",Not applicable,Perth and Kinross,UK - Scotland,Europe,Not applicable,3,30,W,56,20,N,-3.5,56.33333333,56.9333,-3.0333,56.1167,-4.7167,,,The exact location of the area is not given. Perthshire is now part of the county of Perth and Kinross.,2,2
139,New Forest,Not applicable,Hampshire,UK - England,Europe,Not applicable,1,35,W,50,50,N,-1.583333333,50.83333333,50.9,-1.3,50.7,-1.85,,,Source doesn't specify if it is the whole of the new forest or an area of it.,3,1
140,Aransas,Aransas,Texas,USA,North America,Not applicable,97,0,W,27,50,N,-97,27.83333333,27.83,-97,27.83,-97,,,None,2,2
141,Yellowstone National Park and surrounding area,Not applicable,Wyoming,USA,North America,Not applicable,110,17,W,44,30,N,-110.2833333,44.5,46.33,-109,43.5,-112,2500,2000000,"The area is about double the size of the park and includes parts of Idaho, Montana and five National Parks. The elevation at Gardiner (Montana) is 1600m and at Grand Teton peak it is 4200m. Most of the area is at elevations of 2000-2400m.",4,1
142,White Memorial Foundation,Litchfield and Morris,Connecticut,USA,North America,Not applicable,73,12,W,41,42,N,-73.2,41.7,41.7,-73.2,41.7,-73.2,305,1600,None,5,2
145,Tomsk,Tomsk,Tomskaya,Russian Federation,Asia,Not applicable,85,5,W,56,30,N,-85.08333333,56.5,56.5,85,56.5,85,,,Co-ordinates of Tomsk.,4,2
146,Portal,"Portal, Cochise County",Arizona,USA,North America,Not applicable,109,10,W,31,50,N,-109.1666667,31.83333333,31.83,-109.17,31.83,-109.17,,,Experimental station 6.5km east and 2km North of Portal.,5,3
148,"Thames Drainage Basin, Thames Valley",Not applicable,Berkshire/Oxfordshire,UK - England,Europe,Not applicable,2,30,W,51,30,N,-2.5,51.5,52.15,-0.5,51.3167,-1.7,0,,Drainage basin includes area drained by the Thames and its tributaries down to and including the Lea.,3,1
149,Cheshire,Not applicable,Cheshire,UK - England,Europe,Not applicable,2,30,W,53,30,N,-2.5,53.5,53.3833,-1.9667,52.9333,-3.1167,,,None,4,1
150,Insterburg (Chernyakhovsk),Insterburg (Chernyakhovsk),Kalihgrad,Russian Federation,Europe,Not applicable,21,48,E,54,36,N,21.8,54.6,54.6,21.8,54.6,21.8,,,Now known as Chernyakhovsk. This area used to be in Prussia.,3,2
151,Oldenburg,Oldenburg,Niedersachsen,Germany,Europe,Not applicable,8,13,E,53,8,N,8.216666667,53.13333333,53.13,8.22,53.13,8.22,,,"Another Oldenburg (Schleswig Holstein)at 54¼17'N , 10¼52'E.",2,2
